taxonId,area,gazetteer,status,referenceID,remarks
5,,,,,Palaearctic.
11,,,,,"Palaearctic: Europe (Pyrenees: Spain, Andorra, France)."
14,,,,,Palaearctic: Europe (Italy).
15,,,,,Palaearctic: Israel/Palestine.
18,,,,,Palaearctic: Russian Federation (Transbaikalia).
19,,,,,Palaearctic: Europe (Russia).
20,,,,,"Palaearctic: Europe through Siberia to Russian Far East, Turkey, Kazakhstan, China (Xinjiang)."
26,,,,,"Palaearctic: Europe (France, Italy)."
28,,,,,"Palaearctic: Europe (Pyrenees: Spain, France)."
29,,,,,Palaearctic: Turkey.
30,,,,,"Palaearctic: Europe (Central and eastern Alps, Switzerland, Germany, Austria, Italy, Slovenia). Dubious/incorrect: Russian Federation (Tuva) (Rebel 1917a: 193, see Huemer & Karsholt 2002: 120)"
32,,,,,"Europe (Italy, Sardinia, Corsica)."
34,,,,,"Europe (France, Italy, Switzerland, Austria, Czech Republic, Slovenia)."
35,,,,,"Europe (Albania, Macedonia, Greece)."
36,,,,,"Palaearctic: Europe (Pyrenees: Spain, France, Andorra)."
37,,,,,Turkey.
38,,,,,"Europe (British Isles, Belgium, Denmark, France, Spain, Portugal, Italy, Czech Republic, Slovakia, Ukraine, Russia). Dubious/incorrect: Estonia (Piskunov 1981: 734, 1989: 1004, see Huemer & Karsholt 2002: 132)."
45,,,,,"Palaearctic: Europe (Sweden, Finland, Poland, Latvia, Estonia, Russia), Central Asia (Altai), eastern Siberia (Transbaikalia)."
47,,,,,Palaearctic: Syria.
48,,,,,Palaearctic: North Africa (Morocco).
49,,,,,"Palaearctic: Europe (Spain, Finland, Caucasus)."
52,,,,,Neotropical.
53,,,,,Neotropical: Bolivia.
55,,,,,Afrotropical.
56,,,,,Afrotropical: South Africa/Botswana (Kgalagadi Transfrontier National Park).
57,,,,,Afrotropical: South Africa/Botswana (Kgalagadi Transfrontier National Park).
58,,,,,Afrotropical: South Africa (Northern Cape).
59,,,,,Afrotropical: Namibia.
60,,,,,Afrotropical: South Africa/Botswana (Kgalagadi Transfrontier National Park).
61,,,,,Afrotropical: South Africa (Northern Cape).
62,,,,,Afrotropical.
63,,,,,Afrotropical: Republic of Congo.
66,,,,,Nearctic.
69,,,,,Nearctic: USA (Kentucky).
73,,,,,Neotropical.
75,,,,,Neotropical: Brazil (Amazonas).
77,,,,,Neotropical.
78,,,,,"Neotropical: Mexico (Michoacán, Morelos, Puebla, San Luis Potosi)."
79,,,,,Afrotropical.
80,,,,,"Afrotropical: Zimbabwe, South Africa (Eastern Cape)."
82,,,,,Neotropical.
83,,,,,Neotropical: Guyana.
84,,,,,"Palaearctic, Nearctic, Neotropical."
89,,,,,"Nearctic: USA (Arizona, California, Utah)."
91,,,,,Neotropical: Peru.
93,,,,,"Palaearctic/Oriental: Russian Far East, China (Gansu, Henan, Ningxia, Zhejiang), Taiwan, Korea, Japan."
97,,,,,Neotropical: Ecuador.
99,,,,,"Nearctic: Canada (Ontario), USA (Illinois, Kentucky, Maryland, Ohio, West Virginia)."
101,,,,,"Palaearctic: Iran, Afghanistan, Kazakhstan, Uzbekistan, Tajikistan, Kyrgyzstan, China (Ningxia)."
104,,,,,Nearctic: USA (California).
105,,,,,"Palaearctic: Uzbekistan, Turkmenistan."
106,,,,,Palaearctic: China (Shaanxi).
108,,,,,"Palaearctic: China (Shaanxi, Shanxi)."
110,,,,,"Palaearctic: Europe (Russia), Russian Federation (Tuva Chita), Mongolia."
111,,,,,Nearctic: USA (Texas).
112,,,,,"Neotropical: West Indies (Cuba, Puerto Rico)."
114,,,,,Nearctic: USA (Kentucky).
115,,,,,"Palaearctic: Kazakhstan, Mongolia, China (Hebei, Ningxia)."
118,,,,,Nearctic: USA (California).
120,,,,,"Nearctic: USA (Florida, Georgia, Illinois, Maine, Texas)."
123,,,,,"Palaearctic: Europe (Macedonia, Greece, Crete), Turkey, Syria, Israel."
126,,,,,"Palaearctic: China (Ningxia, Xinjiang)."
128,,,,,"Palaearctic: Russian Far Est, China (Gansu, Hebei, Henan, Shaanxi)."
130,,,,,Neotropical: Ecuador (incl. Galápagos Is).
132,,,,,Neotropical: Guyana.
134,,,,,"Neotropical: West Indies (Cuba, Grenada)."
136,,,,,"Nearctic: Canada (Alberta, British Columbia, New Brunswick, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan), USA (Alabama, Arizona, Arkansas, California, Florida, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Mississippi, North Carolina, Oklahoma, South Carolina, Tennessee, Texas, Washington)."
138,,,,,"Palaearctic: Europe (Russia), Turkey, Kazakhstan, Iran, Turkmenistan, Tajikistan, China (Inner Mongolia)."
141,,,,,Neotropical: Paraguay.
143,,,,,Palaearctic: Iran.
145,,,,,"Palaearctic: Russia (Siberia, Far East), Kazakhstan, China (Henan, Ningxia, Tianjin, Shaanxi), Korea, Japan."
147,,,,,"Palaearctic: Kazakhstan, Uzbekistan."
148,,,,,Palaearctic: China (Gansu).
150,,,,,"Palaearctic: Russian Far East, China (Shaanxi)."
153,,,,,"Palaearctic, Nearctic."
155,,,,,"Nearctic: Canada (Alberta), USA (Colorado, Montana)."
157,,,,,Palaearctic: Russian Far East (Khabarovskiy Kray).
159,,,,,Palaearctic: Uzbekistan.
160,,,,,"Palaearctic: Europe (France, Switzerland, Austria, Russia), Kazakhstan, Siberia (Altai, Tuva, Buryatia, Zabaikalskiy Kray). Dubious/incorrect: Japan (Hokkaido) (Sakamaki & Ueda 2013: 283, see Landry & al. 2017: 466)."
