ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,referenceID,publishedInPage,publishedInYear,code,status,remarks,link
1,1,Lepidoptera,,order,Lepidoptera,,,,,,,,ICZN,,,
2,2,Gelechioidea,,superfamily,Gelechioidea,,,,,,,,ICZN,,,
3,3,Gelechiidae,,family,Gelechiidae,,,,,,,,ICZN,,,
4,4,Dichomeridinae,,subfamily,Dichomeridinae,,,,,,,,ICZN,,,
5,5,Acompsia,"Hübner, [1825]",genus,Acompsia,,,,,1,,,ICZN,,,
6,6,Acampsia,"Westwood, 1840",genus,Acampsia,,,,,2,,,ICZN,,,
7,7,Accompsia,"Bruand, [1851]",genus,Accompsia,,,,,3,,,ICZN,,,
8,8,Brachycrossata,"Heinemann, 1870",genus,Brachycrossata,,,,,4,,,ICZN,,,
9,9,Brachicrossata,"Hartmann, 1880",genus,Brachicrossata,,,,,5,,,ICZN,,,
10,10,Telephila,"Meyrick, 1923",genus,Telephila,,,,,6,,,ICZN,,,
11,12,Acompsia antirrhinella,"(Millière, 1866)",species,,Acompsia,,antirrhinella,,,,,ICZN,,,
12,12,Gelechia antirrhinella,"Millière, 1866",species,,Gelechia,,antirrhinella,,7,,,ICZN,,,
13,5,Acompsia (Acompsia),"Hübner, [1825]",subgenus,,Acompsia,Acompsia,,,,,,ICZN,,,
14,14,Acompsia (Acompsia) baldizzonei,"Pinzari, Nel & Pinzari, 2016",species,,Acompsia,Acompsia,baldizzonei,,8,,,ICZN,,,
15,16,Acompsia ballotellus,"(Amsel, 1935)",species,,Acompsia,,ballotellus,,,,,ICZN,,,
16,16,Hypsolophus ballotellus,"Amsel, 1935",species,,Hypsolophus,,ballotellus,,9,,,ICZN,,,
17,17,Ypsolophus ballotellus,"Amsel, 1933",species,,Ypsolophus,,ballotellus,,10,,,ICZN,,,
18,18,Acompsia (Acompsia) bidzilyai,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,bidzilyai,,11,,,ICZN,,,
19,19,Acompsia (Acompsia) caucasella,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,caucasella,,12,,,ICZN,,,
20,21,Acompsia cinerella,"(Clerck, 1759)",species,,Acompsia,,cinerella,,,,,ICZN,,,
21,21,Phalaena cinerella,"Clerck, 1759",species,,Phalaena,,cinerella,,13,,,ICZN,,,
22,22,Phalaena murinella,"Scopoli, 1763",species,,Phalaena,,murinella,,14,,,ICZN,,,
23,23,Tinea ardeliella,"Hübner, [1817]",species,,Tinea,,ardeliella,,15,,,ICZN,,,
24,24,Recurvaria cinerea,"Haworth, 1828",species,,Recurvaria,,cinerea,,16,,,ICZN,,,
25,25,Lita spodiella,"Kollar, 1832",species,,Lita,,spodiella,,17,,,ICZN,,,
26,26,Acompsia delmastroella,"Huemer, 1998",species,,Acompsia,,delmastroella,,18,,,ICZN,,,
27,27,Acompsia delmastorella,"Huemer, 1998",species,,Acompsia,,delmastorella,,19,,,ICZN,,,
28,28,Acompsia dimorpha,"Petry, 1904",species,,Acompsia,,dimorpha,,20,,,ICZN,,,
29,29,Acompsia (Acompsia) fibigeri,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,fibigeri,,21,,,ICZN,,,
30,31,Acompsia maculosella,"(Stainton, 1851)",species,,Acompsia,,maculosella,,,,,ICZN,,,
31,31,Gelechia maculosella,"Stainton, 1851",species,,Gelechia,,maculosella,,22,,,ICZN,,,
32,33,Acompsia minorella,"(Rebel, 1899)",species,,Acompsia,,minorella,,,,,ICZN,,,
33,33,Brachycrossata minorella,"Rebel, 1899",species,,Brachycrossata,,minorella,,23,,,ICZN,,,
34,34,Acompsia muellerrutzi,"Wehrli, 1925",species,,Acompsia,,muellerrutzi,,24,,,ICZN,,,
35,35,Acompsia (Acompsia) ponomarenkoae,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,ponomarenkoae,,25,,,ICZN,,,
36,36,Acompsia (Acompsia) pyrenaella,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,pyrenaella,,26,,,ICZN,,,
37,37,Acompsia (Acompsia) schepleri,"Huemer & Karsholt, 2002",species,,Acompsia,Acompsia,schepleri,,27,,,ICZN,,,
38,39,Acompsia schmidtiellus,"(Heyden, 1848)",species,,Acompsia,,schmidtiellus,,,,,ICZN,,,
39,39,Ypsolophus schmidtiellus,"Heyden, 1848",species,,Ypsolophus,,schmidtiellus,,28,,,ICZN,,,
40,40,Ypsolophus durdhamellus,"Stainton, 1849",species,,Ypsolophus,,durdhamellus,,29,,,ICZN,,,
41,41,Hypsolophus quadrinellus,"Reutti, 1853",species,,Hypsolophus,,quadrinellus,,30,,,ICZN,,,
42,42,Hypsolopha quadrinella,"Herrich-Schäffer, 1854",species,,Hypsolopha,,quadrinella,,31,,,ICZN,,,
