nameID,referenceID,page,link,remarks
6517,4992,412,,sp. nov.
11503,8880,649,,sp. nov.
11504,8881,214,,sp. nov.
11505,8882,211,,sp. nov.
11506,8883,315,,sp. nov.
11507,8885,150,,sp. nov.
11508,8886,721,,sp. nov.
11509,8887,152,,comb. nov.
11510,8887,152,,gen. nov.
7147,5466,66,,sp. nov.
11511,8888,114,,gen. nov.
11512,8888,114,,comb. nov.
11513,8888,117,,ssp. nov.
11514,8888,117,,comb. nov.
11515,8889,282,,sp. nov.
11516,8889,279,,comb. nov.
11517,8890,323,,sp. nov.
11518,8891,884,,Included in Lecithoceridae in checklist of species for India
11519,8892,110,,sp. nov.
11524,8893,420,,sp. nov.
11525,8893,430,,sp. nov.
11526,8894,23,,New combination
11527,8895,4,,sp. nov.
11528,8895,9,,sp. nov.
11529,8895,11,,sp. nov.
