ID,author,title,issued,containerTitle,volume,issue,page,link,citation
1,,,,,,,,,Verz. bekannter Schmett.: 409.
2,,,,,,,,,Introd. mod. Classif. Insects 2 (Synopsis Genera Br. Insects): 110.
3,,,,,,,,,"Mém. Soc. Emul. Doubs (1)3(3, livr. 5, 6): 42."
4,,,,,,,,,Schmett. Dtl. Schweiz (2)2(1): 323.
5,,,,,,,,,Mitt. münch. ent. Ver. 4: 25.
6,,,,,,,,,Exot. Microlepid. 2: 626.
7,,,,,,,,,"Iconogr. Descr. Chenilles Lépid. inédits 2: 274, 280, pl. 80, figs 6-8."
8,,,,,,,,,"Revue Ass. roussillon. Ent. 25: 23, figs 1-3."
9,,,,,,,,,"Mitt. zool. Mus. Berl. 20: 298, pl. 10, fig. 64, pl. 16, fig. 41."
10,,,,,,,,,Zoogeographica 2: 126.
11,,,,,,,,,"Nota lepid. 25: 130, figs 22, 39, 56."
12,,,,,,,,,"Nota lepid. 25: 124, figs 19, 33, 50."
13,,,,,,,,,"Icon. Insect. rariorum 1: pl. 11, fig. 6."
14,,,,,,,,,Ent. carniolica: 256.
15,,,,,,,,,"Samml. eur. Schmett. 8: pl. 65, fig. 437."
16,,,,,,,,,Lepid. Br. (4): 547.
17,,,,,,,,,Beitr. Landesk. Oest. Enns 2: 95.
18,,,,,,,,,"Linzer biol. Beitr. 30: 516, figs 1-3, 10, 11; 18 ('delmastorella')."
19,,,,,,,,,Linzer biol. Beitr. 30: fig. 18.
20,,,,,,,,,Dt. ent. Z. Iris 17: 4.
21,,,,,,,,,"Nota lepid. 25: 130, figs 21, 38, 55."
22,,,,,,,,,Suppl. Cat. Br. Tineidae & Pterophoridae (Appendix): 22.
23,,,,,,,,,Verh. zool.-bot. Ges. Wien 49: 180.
24,,,,,,,,,Dt. ent. Z. Iris 39: 137 [as 'müller-rutzi'].
25,,,,,,,,,"Nota lepid. 25: 128, figs 17, 36, 53, 76, 77."
26,,,,,,,,,"Nota lepid. 25: 117, figs 3, 4, 26, 43, 61, 62."
27,,,,,,,,,"Nota lepid. 25: 129, figs 20, 37, 54."
28,,,,,,,,,"In Koch, Isis, Leipzig 1848: 951, 954."
29,,,,,,,,,Attempt syst. Cat. Br. Tineidae & Pterophoridae: 12.
30,,,,,,,,,Beitr. rhein. Naturg. 3: 187.
31,,,,,,,,,"Syst. Bearb. Schmett. Eur. 5: 154, pl. 81, fig. 616."
32,,,,,,,,,Stettin. ent. Ztg 26: 380. Also Roessler (1867: 349).
33,,,,,,,,,Enum. Insect. Fenn. Suec.: 20.
34,,,,,,,,,"Opusc. ent. 31: 188, text-fig. 19, pl. 2, fig. 3."
35,,,,,,,,,"Nota lepid. 25: 133, figs 24, 41, 58."
36,,,,,,,,,Bull. Soc. Sci. nat. phys. Maroc 35: 255.
37,,,,,,,,,Ankündung syst. Werkes Schmett. Wienergegend: 319.
38,,,,,,,,,Exot. Microlepid. 4: 348.
39,,,,,,,,,Exot. Microlepid. 4: 348.
40,,,,,,,,,"Moths S. Afr. 5: 227 [key], 234."
41,,,,,,,,,"Koedoe 1: 95, figs [unnumbered]."
42,,,,,,,,,"Koedoe 1: 97, figs [unnumbered]."
43,,,,,,,,,"Moths S. Afr. 6: 243, pls 107, 108, pl. 133, fig. c, pl. 134, fig. b."
44,,,,,,,,,"Moths S. Afr. 5: 235, pl. 96, fig. 6, pl. 100, figs 12, 13, pl. 103, fig. 7, pl. 112, fig. 7, pl. 113, fig. 3."
45,,,,,,,,,"Koedoe 1: 97, figs [unnumbered]."
46,,,,,,,,,"in Krüger & Scholtz, Annls Ditsong natn. Mus. nat. Hist. 5: 57, figs 1-4."
47,,,,,,,,,Explor. Parc natn. Albert Miss. G.F. de Witte 14: 15.
48,,,,,,,,,Explor. Parc natn. Albert Miss. G.F. de Witte 14: 15.
49,,,,,,,,,Can. Ent. 4: 149.
50,,,,,,,,,"In Newton, Zool. Rec. (for 1872) 9: 379, 489 [Index]."
51,,,,,,,,,"Trudy vses. ent. Obshch. 56: 187, 189."
52,,,,,,,,,Can. Ent. 4: 149.
53,,,,,,,,,"Bull. U.S. geol. geogr. Surv. Territ. 4: 128, 141."
54,,,,,,,,,Genera Insect. 184: 72.
55,,,,,,,,,Exot. Microlepid. 4: 198.
56,,,,,,,,,Lepid. Cat. 79: 347.
57,,,,,,,,,Exot. Microlepid. 4: 198.
58,,,,,,,,,Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 82.
59,,,,,,,,,"Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 82, text-fig. 19, pl. 3, fig. 3."
60,,,,,,,,,"In Mey, Esperiana, Memoir 6: 205."
61,,,,,,,,,Ann. Transv. Mus. 8: 68.
62,,,,,,,,,Exot. Microlepid. 3: 501.
63,,,,,,,,,Exot. Microlepid. 3: 501.
64,,,,,,,,,Can. Ent. 4: 194.
65,,,,,,,,,Can. Ent. 5: 185.
66,,,,,,,,,Can. Ent. 7: 105.
67,,,,,,,,,"J. Cincinn. Soc. nat. Hist. 2: 198, legend to fig. 21."
68,,,,,,,,,Trans. ent. Soc. Lond. 1917: 40.
69,,,,,,,,,Trans. Am. ent. Soc. 51: 190.
70,,,,,,,,,Comb. nov.
71,,,,,,,,,Trans. ent. Soc. Lond. 1917: 39.
72,,,,,,,,,"Tijdschr. Ent. 27: 169, pl. 9, figs 4, 4a."
73,,,,,,,,,Insecta kor. 3: 86.
74,,,,,,,,,Ent. Res. 44: 19.
75,,,,,,,,,Comb. nov. ? [not Lee & Brown]
76,,,,,,,,,Trans. ent. Soc. Lond. 1917: 30.
77,,,,,,,,,Can. Ent. 4: 195.
78,,,,,,,,,Genera Insect. 184: 54.
79,,,,,,,,,Dt. ent. Z. Iris 34: 103.
80,,,,,,,,,"Beitr. naturk. Forsch. SüdwDtl. 20: 99, text-figs 1, 2, pl. 2."
81,,,,,,,,,Pan-Pacific Ent. 3: 137.
82,,,,,,,,,"Eur. J. Ent. 107: 249 [key], 262, figs 16, 39, 63, 79, 80."
83,,,,,,,,,"Entomotaxonomia 15: 209 [key], 213, 218, figs 6A-D."
84,,,,,,,,,"Entomotaxonomia 15: 209 [key], 212, 217, figs 5A-D."
85,,,,,,,,,"Eur. J. Ent. 107: 249 [key], 255, figs 10, 31, 32, 55, 56, 72."
86,,,,,,,,,"Proc. U.S. natn. Mus. 30: 723, fig. 1."
87,,,,,,,,,Comb. nov. ? [not Lee & Brown]
88,,,,,,,,,"J. Dep. Agric. P. Rico 15: 364, pl. 42, fig. 11."
89,,,,,,,,,Can. Ent. 4: 195.
90,,,,,,,,,"Nasekom. Mongol. 10: 562, figs 50-54."
91,,,,,,,,,"Ent. Res. 1: 83, figs 1-5."
92,,,,,,,,,Proc. U.S. natn. Mus. 33: 197.
93,,,,,,,,,"Verh. zool.-bot. Ges. Wien 23(Abh.): 268, pl. 3, fig. 21."
94,,,,,,,,,Can. Ent. 7: 106.
95,,,,,,,,,"Izv. tsarsk. prirodonauch. Inst. Sofia 14: 6, fig. 7."
96,,,,,,,,,"Beitr. naturk. Forsch. SüdwDtl. 20: 102, text-fig. 3."
97,,,,,,,,,"Entomotaxonomia 15: 209 [key], 215, 218, figs 8A-E."
