taxonID,relatedTaxonID,relatedTaxonScientificName,type,referenceID,remarks,relatedTaxonLink,relatedTaxonOrder,relatedTaxonFamily,relatedTaxonFullName,relatedTaxonHTMLName
5,,,eats,,"Lamiaceae (1), Musci (1), Onagraceae (1), Plantaginaceae (1), Scrophulariaceae (3).",,,,,
11,,,eats,," Asarina procumbens Mill. (‘Antirrhinum asarina’) (Millière 1866: 276, Chrétien 1899b: 202, Lhomme 1948: 653). – Scrophulariaceae.",,,,,
15,,,eats,,"Ballota spp., including B. saxatilis Sieber ex C. Presl (Amsel 1935a: 298, 1935c: 265, Bidzilya & al. 2019b: 27). - Lamiaceae.",,,,,
20,,,eats,,"Unspecified mosses (Sorhagen 1902a: 56, Schütze 1931: 14, Huemer & Karsholt 2002: 116). – Musci. Veronica chamaedrys L. (Scrophulariaceae), Epilobium montanum L. (Onagraceae) (Lhomme 1948: 655, Huemer & Karsholt 2002: 116).",,,,,
26,,,eats,,Unknown. Adults observed on Helianthemum nummularium Mill. (Huemer & Karsholt 1998: 123). – Cistaceae.,,,,,
38,,,eats,,"Calamintha nepeta (L.) Savi, Clinopodium vulgare L., Mentha spp., including M. arvensis L., M. silvestris L., M. rotundifolia L., M. suaveolens Ehrh., Origanum vulgare L. (Heyden 1848: 955, [Bethune-]Baker 1888b: 136, Nickerl 1908: 40, Larsen 1927: 85, Lhomme 1948: 660, Bland & al. 2002: 228, Corley & al. 2000: 296, Huertas 2002a: 10, Corley 2015: 85). – Lamiaceae.",,,,,
45,,,eats,,"Veronica longifolia L. (Kaitila 1996: 100, 103). – Scrophulariaceae.",,,,,
49,,,eats,,"Plantago alpina L. (Chrétien 1899b: 203, Huemer & Karsholt 2002: 127). – Plantaginaceae.",,,,,
55,,,eats,,Poaceae (2).,,,,,
58,,,eats,,Stipagrostis obtusa (Del.) Nees (Janse 1963: 243). – Poaceae.,,,,,
61,,,eats,,Stipagrostis namaquensis (Nees) De Winter (Krüger & Scholtz 2015: 58). – Poaceae.,,,,,
77,,,eats,,Cactaceae (1).,,,,,
78,,,eats,,"Opuntia spp., including O. cantabrigiensis Lynch, O. lasiacantha Pfeiff., O. robusta J.C. Wendl., O. streptacantha Lem., O. tomentosa Salm-Dyck (Mann 1969: 84) - Cactaceae.",,,,,
84,,,eats,,"Erythroxylaceae (1), Fabaceae (7), Fagaceae (2), Pinaceae (1), Rosaceae (3).",,,,,
89,,,eats,,Cercocarpus ledifolius Nutt. (Braun 1925c: 191). – Rosaceae.,,,,,
93,,,eats,,"Lespedeza spp., including L. bicolor Turcz. (Okada 1961: 45, Kogi 2018a: 60). – Fabaceae.",,,,,
99,,,eats,,"Unknown. Gleditsia sp. suspected (Chambers 1878b: 110, Forbes 1923: 306, Robinson & al. 2002: 29). – Fabaceae.",,,,,
101,,,eats,,"Alhagi sparsifolia Shap. ex Keller & Shap. (Falkovitsh & Bidzilya 2003: 116, Bidzilya & Li 2010a: 262). – Fabaceae.",,,,,
112,,,eats,,"Aeschynomene americana L. (Busck 1934a: 158, Bruner & al. 1975: 11). – Fabaceae.",,,,,
115,,,eats,,Pseudosophora alopecuroides L. (Sweet) (Lvovsky & Piskunov 1989: 564). – Fabaceae.,,,,,
118,,,eats,,"Quercus douglasii Hook. & Arn., Q. engelmannii Greene (Opler 1974: 10). – Fagaceae.",,,,,
130,,,eats,,Prosopis juliflora (Sw.) DC. (Landry & Roque-Albelo 2010: 734). – Fabaceae.,,,,,
136,,,eats,," Prunus spp. (‘plum, peach’), including P. americana Marschall, P. emarginata (Douglas ex Hook.) Walp. (Chambers 1873: 186, 1878b: 112, Forbes 1923: 304, Clarke 1935: 247). – Rosaceae.",,,,,
145,,,eats,,Pinus spp. (Okada 1961: 46). – Pinaceae; Prunus armeniaca L. (Owada & al. 2005b: 127). – Rosaceae.,,,,,
178,,,eats,,"Anacardiaceae (3), Ericaceae (1), Sapindaceae (2).",,,,,
180,,,eats,,"Acer ginnala Maxim. (Park 1992: 18, 2013: 16). – Sapindaceae.",,,,,
182,,,eats,,in galls of Forda hirsuta Mordv. (Aphididae) on Pistacia vera L. (Khajeali & al. 2016: 73). – Anacardiaceae.,,,,,
188,,,eats,,"Pistacia vera L. (Danilevsky 1955: 114, Romanenko 1972: 85, Sattler 1982: 16). – Anacardiaceae.",,,,,
190,,,eats,,"Empetrum nigrum L. (Karvonen 1932: 80, Kaitila 1996: 89, 101). - Ericaceae",,,,,
194,,,eats,,"Acer campestre L., A. platanoides L. (Stainton 1865b: 172, Gartner 1866: 197, Sorhagen 1886: 330, Larsen 1917: 166, Schütze 1931: 133, Bland & al. 2002: 131). – Sapindaceae. Dubious/incorrect: Prunus tenella Batsch (‘Amygdalus nana L.’) (Piskunov & Solodovnikov 2016: 42). – Rosaceae.",,,,,
196,,,eats,,Unknown. Anacardiaceae suspected (Sattler 1982: 17).,,,,,
199,,,eats,,Tamaricaceae (2).,,,,,
201,,,eats,,"Tamarix spp., including T. aphylla (L.) H.Karst., T. dioica Roxb. ex Roth, T. senegalensis DC. (‘T. nilotica’) (Ragonot 1886: ccviii, Bodenheimer 1930: 174, Gerling & al. 1976: 69, 75). - Tamaricaceae.",,,,,
202,,,eats,,Tamarix ??. - Tamaricaceae.,,,,,
