ID,parentID,nameID,scrutinizer,scrutinizerDate,provisional,referenceID,extinct,temporalRangeEnd,lifezone,kingdom,phylum,class,order,superfamily,family,subfamily,tribe,genus,uninomial,species,remarks
1,,1,,,false,,false,,,Animalia,Arthropoda,Insecta,,,,,,,Lepidoptera,,
2,1,2,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,,,,,,Gelechioidea,,
3,2,3,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,,,,,Gelechiidae,,
4,3,4,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,,,,Dichomeridinae,,
5,4,5,,,false,1,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,,Acompsia,,
11,5,11,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia antirrhinella,
13,5,13,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,Acompsia,,
14,13,14,,,false,8,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia (Acompsia) baldizzonei,
15,5,15,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia ballotellus,
18,13,18,,,false,11,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia (Acompsia) bidzilyai,
19,13,19,,,false,12,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia (Acompsia) caucasella,
20,5,20,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia cinerella,
26,5,26,,,false,18,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia delmastroella,
28,5,28,,,false,20,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia dimorpha,
29,13,29,,,false,21,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia (Acompsia) fibigeri,
30,5,30,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia maculosella,
32,5,32,,,false,,false,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechioidea,Gelechiidae,Dichomeridinae,,Acompsia,,Acompsia minorella,
