ID,nameID,remarks
5,5,"Type species: Phalaena cinerella Clerck, 1759, Icon. Insect. rariorum 1: pl. 11, fig. 6, by subsequent designation by Duponchel, 1838, in Godart & Duponchel Lépid. Papillons 11: 19."
8,8,"Type species: Phalaena cinerella Clerck, 1759, Icon. Insect. rariorum 1: pl. 11, fig. 6, by subsequent designation by Meyrick 1925, Genera Insect. 184: 141."
10,10,"Type species: Ypsolophus schmidtiellus Heyden, 1848, in Koch, Isis, Leipzig 1848: 954, by original designation."
12,12,"Syntypes, unspecified sex, FRANCE: Ariège, Ax-les-Thermes ('Ax-sur-Ariège'), ex Antirrhinum asarina, iii-v., em. vii. (Millière). (MNHN, Paris)."
14,14,"Holotype ♂, ITALY : Rieti, Lazio, Borbona, Vallemare/Loc. Colle Marcone, 1121 m, 6.vi.2014 (Baldizzone) (slide no. JN29510 ). (RCGB, Asti)."
16,16,"Lectotype ♂, ISRAEL/PALESTINE: Jerusalem, Ein Karem (‘Ain Karim'), ex Ballota sp., 23.iv.1930 (Amsel)(slide no. 651). (LN, Karlsruhe)."
18,18,"Holotype ♂, RUSSIAN FEDERATION: Zabajkale Sochodinskij zapovednik r. Agucakan, 1000 m, 19.vii.1997 (Bidzilya, Kostjuk & Kostjuk) (slide no. 02/1144, Huemer). (ZMKU, Kiev)."
19,19,"Holotype ♂, RUSSIAN FEDERATION: Caucasus, Psysh river, 22.vii.1994 (Zhakov) (slide no. 02/1149, Huemer). (ZMKU, Kiev)."
21,21,"Lectotype, unspecified sex, [SWEDEN]: unspecified (Clerck), designated by Robinson & Nielsen 1983: 206. (NR, Stockholm)."
22,22,"Syntypes, unspecified sex, SLOVENIA: ('Carniolia inferior') (Scopoli). (Lost)."
23,23,"Syntypes, unspecified sex, EUROPE: unspecified (Hübner). (Not traced)."
25,25,"Syntypes, unspecified sex, AUSTRIA: Vienna, Kahlenberg, viii. (Kollar). (Not traced)."
29,29,"Holotype ♂, TURKEY: Gümü?hane, Kop pass, 2400 m, 13-14.ix.1993 (Fibiger). (ZMUC, Copenhagen)."
31,31,"Lectotype ♂, AUSTRIA: Alps (Mann), designated by Huemer & Karsholt 2002: 119. (BMNH)."
33,33,"Lectotype ♂, ITALY: Trento, Le Sarche, vii.1897 (Rebel), designated by Huemer & Karsholt 2002: 124. (NHM, Vienna)."
35,35,"Holotype ♂, GREECE: Ipiros, Katara pass, 1500-1700 m, 24-27.v.1994 (Karsholt). (ZMUC, Copenhagen)."
36,36,"Holotype ♂, FRANCE: Hautes-Pyrénées, Vallée d'Ossoue, 1500 m, 17.vii.1961 (Burmann) (slide no. GEL 1063, Huemer). (TLMF, Innsbruck)."
37,37,"Holotype ♂, TURKEY: Erzincan, Kizilda?, Geçidi, 2100 m, 19.viii.1993 (Schepler) (slide no. 4848, Karsholt). (ZMUC, Copenhagen)."
39,39,"Syntypes, unspecified sex, GERMANY: Hessen, Sachsenhäuser Warte, vi.1844; Taunus, Königstein, vi.1844 (Schmidt). (Not traced)."
40,40,"Syntypes, unspecified sex, BRITISH ISLES: England, Avon, Durdham Downs, nr Bristol (Sircom); Devon (Jordan). (Not traced)."
42,42,"Holotype, unspecified sex, AUSTRIA: Vienna, Rodaun, vii. (Fischer von Röslerstamm). (Not traced)."
47,47,"Holotype ♂, SYRIA: 25 km W of Damascus, 17-18.v.1961 (Kasy & Vartian). (NHM, Vienna)."
50,50,"Neotype ♂, AUSTRIA: Niederösterreich, Fischauerberge, Brunn, 11.v.1957 (Malicky), designated by Huemer & Karsholt 2002: 125. (TLMF, Innsbruck)."
52,52,"Type species: Acrophiletis cosmocrossa Meyrick, 1932, Exot. Microlepid. 4: 348, by monotypy."
55,55,"Type species: Acutitornus munda Janse, 1951, Moths S. Afr. 5: 235, pl. 96, fig. 6, pl. 100, figs 12, 13, pl. 103, fig. 7, pl. 112, fig. 7, pl. 113, fig. 3, by original designation."
62,62,"Type species: Adoxotricha symbolistis Meyrick, 1938, Explor. Parc natn. Albert Miss. G.F. de Witte 14: 15, by monotypy. SUBFAMILY UNASSIGNED."
66,66,"Type species: Adrasteia alexandriacella Chambers, 1872, Can. Ent. 4: 149, by subsequent designation by Walsingham, 1911, Biologia cent.-am. (Zool.) Lepid.-Heterocera 4: 56. GELECHIINAE,"
73,73,"Type species: Adullamitis emancipata Meyrick, 1932, Exot. Microlepid. 4: 198, by monotypy. GELECHIINAE,"
77,77,"Type species: Aerotypia pleurotella Walsingham, 1911, Biologia cent.-am.(Zool.) Lepid.-Heterocera 4: 82, text-fig. 19, pl. 3, fig. 3, by original designation."
79,79,"Type species: Telphusa accensa Meyrick, 1921, Ann. Transv. Mus. 8: 68, by original designation. GELECHIINAE,"
81,81,"Holotype ♀, ZIMBABWE ('RHODESIA'): Victoria Falls, 27.i.1918 (Janse) (slide no. 5540). (TM, Pretoria)."
82,82,"Type species: Agathactis toxocosma Meyrick, 1929, Exot. Microlepid. 3: 501, by monotypy."
84,84,"Type species: Agnippe biscolorella Chambers, 1872, Can. Ent. 4: 195, by subsequent designation by Meyrick, 1925, Genera Insect. 184: 54. GELECHIINAE,"
85,85,"Type species: Evippe prunifoliella Chambers, 1873, Can. Ent. 5: 186, by monotypy."
86,86,"Type species: Phaetusa plutella Chambers, 1875, Can. Ent. 7: 106, by monotypy."
88,88,"Type species: Tholerostola omphalopa Meyrick, 1917, Trans. ent. Soc. Lond. 1917: 40, by monotypy."
90,90,"Holotype ♂, USA: Utah, Logan, ex Cercocarpus ledifolius, em. 8.vii. (Braun). (?)."
92,92,"Lectotype ♂, PERU: Lima, 500 ft, viii.1914 (Parish) (slide no. 5743, Clarke), designated by Clarke 1969b: 88, pl. 44, figs 1-1b. (BMNH)."
